,Job Title,Employer,Salary,Description,Link,Date,Year
5442,Elections Services Specialist,"Contra Costa County, California</strong>","$4,188-$5,091 monthly","Elections Services Specialist, Contra Costa County, California—the Elections Services Specialist is a lead technical position assigned to one of the functional units of the Elections Division: Candidate Services, Voter Services, Precinct/Mapping Services; Poll Operations; Warehouse Operations; and IT Operations. This position performs the most complex and technical support activities associated with the preparation for and conducts of elections; performs database management in one or more database systems; and has lead responsibility over the Elections Services Technicians and unit clerical and temporary staff. Salary: $4,188-$5,091 monthly. Deadline: Oct. 13. Application: For the complete job listing and to apply, click here.",http://www.cccounty.us/hr,09-28,2017
5443,"Election Services, Technology Certification and Security Manager",<strong>Virginia State Board of Elections</strong> ,"$70,000 to $105,000","Election Services, Technology Certification and Security Manager, Virginia State Board of Elections — manage the Election Services Division of the agency including managing election administration staff, policy analysis, campaign finance analysts, and voting system certification specialists. Manages and sets direction for policy analysts in the review of introduced legislation, interpretation of statutes and regulations, and effectively communication policy interpretation to agency leadership. Manage the work associated with the legislative session; ensuring the accuracy of and timely submission of analysis/documents, and the implementation of enacted legislation. Manages and set direction of campaign finance staff in the processing of campaign finance reports, addressing campaign finance violations and managing records in accordance with statute and regulations. Plans, designs and manages the election technology certification programs to ensure the security, integrity and accuracy of elections in Virginia. Implements policies, standards and procedures relating to voting systems, performance, security and auditing. Analyzes and documents election administration processes and data, identifying efficiencies and opportunities to improve performance. Possess the knowledge, skills and abilities to provide analytical reports of election administration processes throughout the Commonwealth. Works closely with our vendors, developers and business analysts for successful election administration management. This position supervises the work of the team responsible for administering elections in the Commonwealth, training of local election officials and provides guidance to the agency to determine best practices in voting equipment management, evaluation trends in election administration, and acting as a liaison with system vendors, federal certification entities and election administrators in other states. Manages training staff to ensure compliance with relevant statute and develop a culture of continuous learning among election officials across the state. Salary: $70,000 to $105,000. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",https://virginiajobs.peopleadmin.com/postings/86113,09-28,2017
5457,Election Processing Supervisor,"Contra Costa County, California </strong>","$57,566-$69,972","Election Processing Supervisor, Contra Costa County, California — election processing supervisors are responsible for overseeing and monitoring election services clerical and technical support staff, systems and programs in one of the major functional units of the Elections Division: Candidate and Voter Services; Voter Registration/Absentee Services and File Maintenance; Precinct/Poll Worker/Mapping Services; Warehouse and Equipment Services and Ballot/Tally/Reporting Systems and Services.  The Ideal candidates must possess knowledge and understanding of the entire election process cycle and the relationship between each unit of the Elections Division. Salary: $57,566-$69,972. Deadline: August 4. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/contracosta?page=2,07-20,2017
5458,Election Specialist,"<strong>Whitman County, Washington Auditor’s Office</strong>",,"Election Specialist, Whitman County, Washington Auditor’s Office— the Election Specialists within the Whitman County Auditor Office assist in the preparation and operation of County elections by processing voter registration applications and election ballots. This position is also tasked with maintaining voter registration files, selection and training of election extra help staff and education programs and have a significant amount of public contact requiring effective communication and service to customers. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.whitmancounty.org/HmnResc/pdf.aspx?jid=143,07-20,2017
5468,GIS Specialist,"<strong>Polk County, Florida</strong> ",,"GIS Specialist, Polk County, Florida — This position consists primarily of technical work using geographic information system software to create and maintain maps and street index representing political subdivisions in Polk County, Florida. Illustrative duties include: Identify voter registration addresses; Assist with creation of precincts; Maintains districts and voter addresses on maps; Research residential land parcels; Maintain accurate street index; Provide members of the public with maps and data; Assists with ballot layout and proofreading; Maintain and update website maps; and Performs related duties as required. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",https://www.polkelections.com/Portals/Polk/Documents/Polkelections%20GIS%20specialist.pdf?timestamp=1508878731434,11-09,2017
5489,Election Warehouse Technician,"<strong>Yavapai County, Arizona</strong> ","$35,731-$41,073","Election Warehouse Technician, Yavapai County, Arizona — Under minimal supervision, coordinates all the logistical activities for obtaining and equipping the county’s polling locations.  This includes assuring that these sites are in compliance with the Americans with Disability Act (ADA) and Help America Vote Act of 2002 (HAVA). PLEASE NOTE:  This is not a typical warehouse job; no hard hats or heavy equipment operator licenses are necessary.  Ideal candidate would have experience in election equipment testing and maintenance, leading a group of seasonal staff, project planning and preparing documents.  Preference will be given to candidates with supervisory, project management and Microsoft Office experience. Employment with Yavapai County Government is contingent upon successfully passing a criminal background check and verification of work history, academic credentials, licenses and certifications, as applicable. Salary: $35,731-$41,073. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/yavapai?page=2&pagetype=jobOpportunitiesJobs&jobId=1688428&jobName=elections-warehouse-technician&tab=1,05-11,2017
5504,Elections Division Director,"Ada County, Idaho </strong>","$65,000-$75,000","Elections Division Director, Ada County, Idaho — collaborates with the Clerk of the District and Chief Deputy to plan, oversee, and administer elections for over 200,000 registered voters across 145 precincts. The Elections Director is responsible for ensuring all of the necessary resources are acquired and in place, poll workers are well prepared, and that Ada County’s elections are conducted in an accurate, efficient, and transparent manner that leaves Ada County voters with the upmost confidence in the elections process. The Elections Director is expected to exercise independent judgment and discretion, under the general direction of the Clerk of the District Court & Chief Deputy, to manage the administration of all federal, state, county and local district elections. The Director is responsible for planning, designing, and carrying out programs, projects, studies or other work related to election administration within Ada County. Salary: $65,000-$75,000. Deadline: June 15, 2017. Application: For the complete listing and to apply, click here.",http://adacounty.id.gov/jobs,06-01,2017
5510,System Specialist,<strong>Dominion Voting Systems</strong> ,Negotiable base + bonus target & benefits,"System Specialist, Dominion Voting Systems — Dominion Voting Systems is seeking tech-savvy, passionate System Specialist to be based in our Toronto office! This position will be responsible for a wide range of projects to include end-to-end election simulations, identifying new features for development, coming up with creative solutions to meet customer needs; and documenting procedures and solutions. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,06-01,2017
5512,"Chief, Departmental Operations",San Diego County Registrar of Voters</strong> ,"$95,000 to $110,000","Chief, Departmental Operations, San Diego County Registrar of Voters — the County of San Diego, Registrar of Voters (ROV) invites résumés from qualified candidates for Chief, Departmental Operations to fill a vacancy in the Precinct Services Division. The Chief, Departmental Operations is an unclassified management position reporting directly to executive management and oversees a major functional area or several small programs including creating program policy and supervision of staff. This position provides leadership and oversight over the functions and activities of the Department’s Precinct Services Division. The primary responsibilities are to direct precinct planning; securing poll facilities; survey and retrofit polls to meet accessibility requirements; print requests; GIS/cartographic functions; oversee candidate filing and candidate services, manage campaign finance disclosure reporting and oversee the overall direction of the language services program. The Chief, Departmental Operations provides leadership, supervision, and management of staff responsible for precinct service activities. These responsibilities are accomplished through a balanced, yet continually shifting combination of in-house resources. Salary: $95,000 to $110,000. Deadline: January 9, 2017. Application: For the complete job listing and to apply, click here.",http://www.sandiegocounty.gov/content/dam/sdc/hr/jobs/ROV_Chief_Dept_Oper_Precinct.pdf,01-05,2017
5531,Elections Supervisor,"Washington County, Oregon</strong> ","$5,594.73-$6,797.40 per month","Elections Supervisor, Washington County, Oregon — do you possess an elections background or transferrable skills from a clerical or production environment along with supervisory experience and the ability to lead large projects? Do you thrive on staying current with information, technology and trends? Then consider applying for the Elections Supervisor position with Washington County’s Department of Assessment and Taxation! The Elections Supervisor communicates effectively, exercises sound decision-making and demonstrates collaboration and accountability to peers, the team and to the public. Salary: $5,594.73-$6,797.40 per month. Deadline: October 22. Application: For the complete job listing and to apply, click here.",http://www.washcojobs.org/,10-12,2017
5534,Policy Associate/Policy Specialist,National Conference of State Legislatures</strong> ,"$4,028-$4,428 monthly","Policy Associate/Policy Specialist, National Conference of State Legislatures — the Policy Associate/Policy Specialist will work on NCSL’s elections team. The position requires skills in research, analysis, and program planning gained through progressively more complex and more in-depth work over several years. The work is performed independently within established program guidelines or project specifications; major work products are reviewed by more senior professionals or program managers/directors for quality, policy considerations, form, and substance. The Policy Associate/Policy Specialist will develop expertise on elections policy, and to a lesser extent campaign finance and/or redistricting. The work includes research, writing, speaking, maintaining internal and external documents and resources, developing connections with state legislators and legislative staff as well as meeting planning. This position is grant-funded and is subject to reduction in percentage of time covered or elimination if grant funding becomes unavailable. Salary: $4,028-$4,428 monthly. Deadline: October 18. Application: For the complete job listing and to apply, click here.",https://ncsl.applicantpro.com/jobs/,10-12,2017
5537,Voter Registration Coordinator,"Mohave County, Arizona</strong> ","$36,774 – $57,012","Voter Registration Coordinator, Mohave County, Arizona — performs journey-level work assisting County Recorder with plans, organization, coordination and activities of all election and voter registration duties to ensure compliance with applicable Federal and State laws, rules and regulations. Work is performed under the general direction of the County Recorder. The employee is expected to exercise initiative, independent judgement and discretion in efficiently performing a full range of administrative and office management tasks. Work is reviewed as a quality control measure. Outcome of election and audit trail will show compliance. Salary: $36,774 – $57,012. Deadline: October 18. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/mohavecountyaz/jobs/1853096/voter-registration-coordinator,10-12,2017
5543,Project Manager,<strong>Dominion Voting Systems</strong> ,Negotiable base + bonus target & benefits,"Project Manager, Dominion Voting Systems — Dominion Voting Systems  is seeking an experienced and passionate Project Manager to join our team in Michigan! This position will be responsible for the effective project management of assigned projects which includes, but not limited to, product implementations, scheduling, budgeting, quality control, staffing, communication, risk management, fulfillment, integration and customer communication. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,05-04,2017
5547,Sales Engineer,<strong>Dominion Voting Systems</strong> ,Negotiable base + bonus target & benefits,"Sales Engineer, Dominion Voting Systems — Dominion Voting Systems is seeking a passionate and technically skilled Sales Engineer to be based in either California or Colorado. This position will be responsible for serving Dominion Voting Systems customers by identifying their needs; working with Engineering & Certification on adaptations of existing DVS products, equipment, and services; and this using technical, organizational and customer knowledge to influence customers and assist them in applying our products and services to their needs, resulting in revenue generation. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,05-04,2017
5552,Account Manager,"Clear Ballot, Boston </strong>",,"Account Manager, Clear Ballot, Boston — we are looking for a talented Account Manager to play an active role in developing and maintaining long-term working relationships with Clear Ballot’s customers. This person should be able to work independently and in partnership with other team members to achieve high customer satisfaction. The account manager will have a regional assignment, with certain customers assigned to him/her. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/account-manager,02-16,2017
5554,Ballot Processing Manager,"Adams County, Colorado</strong> ","$51,904-$72,665","Ballot Processing Manager, Adams County, Colorado — we are seeking a manager to provide planning, leadership oversight, and supervision to the working groups within the ballot processing area and provide leadership/supervision, as well as planning and administrative support, to the Elections Operations and Logistics area during non-election cycles. The successful candidate will contribute information for budget planning; prepare and maintain records and reports; develop and administer performance standards, expectations, and evaluations to two full-time employees; administer Military and Overseas (UOCAVA) voter registration and ballot delivery program; administer all mail ballot delivery, sorting, receiving, and deconstruction; and oversee the Health Care Facility ballot delivery and Canvass process.  Salary: $51,904-$72,665. Deadline: March 6 4:30pm Mountain. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/adams/jobs/1660437/ballot-processing-manager?page=1&pagetype=jobOpportunitiesJobs,02-16,2017
5575,Sales Engineer,Dominion Voting Systems </strong>,Negotiable base + bonus target & benefits,"Sales Engineer, Dominion Voting Systems — Dominion Voting Systems is seeking a passionate and technically skilled Sales Engineer to be based in either California or Colorado. This position will be responsible for serving Dominion Voting Systems customers by identifying their needs; working with Engineering & Certification on adaptations of existing DVS products, equipment, and services; and this using technical, organizational and customer knowledge to influence customers and assist them in applying our products and services to their needs, resulting in revenue generation. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,04-13,2017
5579,Associate Components Engineer,"<strong>Clear Ballot, Boston</strong> ",,"Associate Components Engineer, Clear Ballot, Boston — our growing team has an immediate need in our Boston office for an entry-level/early career Associate Components Engineer in our Product Management organization. As an Associate Components Engineer, you will be at the center of maintaining Clear Ballot as the leader of commercial-off-the-shelf based voting systems.  The list of materials in our voting systems is broad and dynamic; and you will be accountable for staying ahead of vendor product roadmaps, leading the identification and evaluation of new technologies and products from those vendors, identifying new sources of components, then managing new models and products through introduction, test, internal training and deployment.  You may also perform manufacturing engineering duties and vendor surveys.  The successful candidate will be managing finished goods and subassemblies such as computers, printers, and scanners- not board level components. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/associate-components-engineer,08-10,2017
5584,Program Specialist II,"Montgomery County, Maryland</strong>",,"Program Specialist II (Election Administration), Montgomery County, Maryland— the Board of Elections (BOE) is seeking an Operations Specialist. This position will serve as backup to the operations division chief and will independently manage multiple key functions of the department, including planning for polling places and other facilities and services; overseeing and assisting with campaign filing and ballot access; negotiating and administering contracts; and coordinating major projects in support of an election such as logistical support for early voting. The successful candidate for this position will have considerable knowledge of election laws and procedures; skill in dealing tactfully, effectively, and equitably with people; knowledge of contract management; proficiency in writing, proofreading and copy editing; strong skills in logistics and supply management; and strong organizational and communications skills with a high degree of attention to detail. Deadline: August 16. Application: For the complete job listing and to apply, click here (search for position number IRC26924).",http://www.montgomerycountymd.gov/careers,08-10,2017
5585,Project,Dominion Voting Systems</strong> ,Negotiable base + bonus target & benefits,"Project Manager, Dominion Voting Systems — Dominion Voting Systems is seeking an experienced and passionate Project Manager to be based in our Toronto office! This position will be responsible will be responsible for the effective project management of assigned projects throughout the Operations, North territory which includes but is not limited to, scheduling, budgeting, quality, staffing, communication, risk, supply chain, integration and customer communication. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,08-10,2017
5600,Associate Director for Modern Election,Democracy Fund</strong>,,"Associate Director for Modern Election, Democracy Fund— the Democracy Fund seeks an Associate Director for Modern Elections to lead its strategy for creating a modern election system. The Associate Director will be responsible for implementing the Election Program’s efforts to modernize voter registration systems, improve and expand access to voting, and reduce the risk of systematic election failures. The Associate Director, a newly created position reporting to the Elections Program Director, will also support the team’s work to encourage the adoption of evidence-based best practices and technology in the elections field, which will include direct advocacy and coalition building through Democracy Fund Voice, a 501c4 sister-organization. The Associate Director also will support research, network development, field evaluation and analysis, and the development of a portfolio of regional and national grantees working to generate change for a modern election system. The successful candidate will be an excellent manager with demonstrated policy reform and management experience. Strong candidates will possess deep expertise in the field of election administration or a related area of public policy and will be comfortable collaborating in a highly bipartisan, fast-paced work environment. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.democracyfund.org/page/jobs#ADME,01-26,2017
5601,Customer Service Consultant,Hart InterCivic</strong> ,,"Customer Service Consultant, Hart InterCivic — Hart InterCivic is seeking a Customer Service Consultant who has a strong desire to provide an outstanding customer experience for a growing company. Our Customer Service Consultant supports our customers on a daily basis by providing the following: Foster and develop positive customer relations by providing courteous, prompt and proactive customer service. Communicate with customers by phone, email or other correspondence. Respond to customer requests in a timely manner. Ensure timely Order Fulfillment through interactions with customers, other internal departments, and vendors: Create price quotations, orders, and similar requests for customers. Process purchase orders and enter purchase information into Order Management System. Verify all purchase orders and order information for accuracy. Contact customers to verify the information on purchase orders as it may be appropriate. Provide customers with assistance and information on part numbers, order status, troubleshooting their purchase orders, or other requests. Act as a liaison and coordinate with other departments through order completion and to expedite or resolve any issues or concerns. Provide follow up and respond to customer issues, inquiries, emails, correspondence, or other requests. Assist in maintaining up to date customer files. Partner with other departments to prepare documentation to process returns and credit memos. Partner with other departments to process requests for internal orders, including capital expenditure requests. Maintain a current working knowledge of product lines, prices, lead-time, and other relevant information. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.hartintercivic.com/content/careers,01-26,2017
5602,Customer Service Representative,"Collier County, Florida</strong>","$34,000-$38,000","Customer Service Representative, Collier County, Florida— purpose of this classification is to provide clerical support and customer service. Work involves preparing a variety of documents; entering data and retrieving information from department databases; maintaining automated and manual files; and assisting callers, customers and/or visitors. Salary: $34,000-$38,000. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.colliervotes.com/Employment-Opportunities,01-26,2017
5604,IT Specialist,"Collier County, Florida</strong> ","$44,000-$50,000","IT Specialist, Collier County, Florida — the IT Support Specialist works closely with IT staff to provide technical support and assistance to all staff located within the Supervisor of Elections office. This person will work with a wide variety of elections industry specific technologies to include hardware, software, programming, printers, and applications. In addition, this person will be providing support and assistance for non-election industry networking technology to include workstations, servers, printers, etc. Salary: $44,000-$50,000. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.colliervotes.com/Employment-Opportunities,01-26,2017
5606,Research Fellow- Elections,The Democracy Fund</strong> ,,"Research Fellow- Elections, The Democracy Fund — the Elections Program focuses on election administration and money in politics by supporting unbiased research, bipartisan dialogue, and unconventional solutions that will ensure the views and votes of the American public come first in our democracy. We are looking for candidates who are available part-time (20-30 hours/week) and can support the research needs of the Elections Program team, which may include both qualitative and quantitative analysis. A successful candidate has the ability to work with policy experts and academics on questions fundamental to our program and has a high interest in making meaningful contributions to elections and voting research. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://democracyfund.applytojob.com/apply/bfNqix/Research-Fellow-For-Elections-Washington-DC,01-26,2017
5610,Vote-by-Mail Coordinator,"Collier County, Florida</strong> ","$38,000-$42,000","Vote-by-Mail Coordinator, Collier County, Florida —purpose of this classification is to issue vote-by-mail ballots, handle vote-by-mail voter service inquiries, maintain voter records, and support all other vote-by-mail ballot functions. Duties include: Interacts daily with registered voters and makes decisions regarding the vote-by-mail balloting process. As part of a team, works well with others and communicates ideas effectively. Exchanges information, coordinates assignments, and problem solves with others. Supervises temporary workers for ballot processing and voter inquiries during peak election cycles. Designs routing and sorting schemes and then loads, operates, adjusts, and repairs machinery used by vote-by-mail department. Maintains database information for vote-by-mail ballots by entering voter registrations and vote-by-mail ballot requests, retrieving voter information, and providing detailed reports. Creates new spreadsheets/files and purges old data. Researches information from databases as requested. Generates reports, logs, and listings from databases. May include scanning paper documents into digital database. Administers the security of vote-by-mail ballots by ensuring secure distribution, receipt, and storage. Controls voted vote- by-mail ballot acceptance, signature verification, sorting, and extraction. Prepares department records, reports, and forms. Prepares correspondence and letters; receives documents and retrieves information from drafts, summaries, databases, or other source documents; incorporates information into prepared materials; proofreads for accuracy and completeness; copies and distributes documents as appropriate. Requests information from other departments as necessary to complete department records/files. Answers telephones; assists callers with questions regarding election related issues, services, or procedures; refers callers to other staff members as appropriate. Responds to email, web, and fax inquiries. Operates a personal computer, telephones, copiers, mailing, and other general office equipment as necessary to complete essential functions, to include the use of word processing, spreadsheet, presentation, database, and other system software. Salary: $38,000-$42,000. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.colliervotes.com/Employment-Opportunities,01-26,2017
5615,President,<strong>Verified Voting</strong> ,,"President, Verified Voting — Verified Voting Foundation (a 501(c)(3) organization) and VerifiedVoting.org (a 501(c)(4) organization) are nonprofit, nonpartisan organizations founded over a decade ago by election security experts. We strive to guarantee the accuracy, transparency, and verifiability of elections, so that citizens rightly can trust election outcomes. We are the only national organization with the exclusive mission of protecting the security of elections in the digital age. This is is an exciting time to be Verified Voting President. Citizens and policy makers are finally becoming aware of major security vulnerabilities of our election systems. The President of Verified Voting, who is the Chief Executive Officer of both organizations, will have a platform that can have significant national impact. We are in the initial stages of launching an ambitious nationwide campaign to promote the adoption of paper ballots and routine manual audits throughout the U.S.  Deadline: Open until filled. Application: For the complete job listing and to apply, click here.  ",https://www.verifiedvoting.org/wp-content/uploads/2017/07/VerifiedVotingPresidentAdvert.pdf,09-07,2017
5618,Senior Researcher,"Center for Information and Research on Civic Learning &amp; Engagement (CIRCLE), Tisch College</strong> ",,"Senior Researcher, Center for Information and Research on Civic Learning & Engagement (CIRCLE), Tisch College — CIRCLE is seeking a Senior Researcher with a background in quantitative research methodologies and varied experience in planning and executing research projects. Responsibilities include serving as the lead quantitative researcher on a range of research projects that may include secondary data-analysis, large dataset creation/analysis, literature reviews, field experiments, and original surveys. The Senior Researcher’s tasks include producing analytic plans, methodology documentations, datasets, reports, fact sheets, formal and informal research briefs and press releases on timely and relevant topics, often in close collaboration with CIRCLE colleagues. The Senior Researcher will assist with research grant proposals writing especially with the methodology sections. They will occasionally represent CIRCLE research conferences, practitioner forums, and press events. The Senior Researcher will work alongside colleagues, including a current Senior Researcher, Director of Impact, and Researcher, and provide inputs and peer training to other CIRCLE staff who produce research (quantitative and qualitative). All CIRCLE staff report directly to Director of CIRCLE, who reports to Associate Dean of Research at Tisch College. Application: For the complete job listing and to apply, click here.",http://tufts.taleo.net/careersection/ext/jobdetail.ftl?job=17001523&lang=en,09-07,2017
5629,Project Manager,Dominion Voting Systems </strong>,Negotiable base + bonus target & benefits,"Project Manager, Dominion Voting Systems — Dominion Voting Systems  is seeking an experienced and passionate Project Manager to join our team in Michigan! This position will be responsible for the effective project management of assigned projects which includes, but not limited to, product implementations, scheduling, budgeting, quality control, staffing, communication, risk management, fulfillment, integration and customer communication. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,05-25,2017
5637,Training Specialist,"Wake County, North Carolina</strong> ","$18.98 -$25.62/hr, eligible for overtime","Training Specialist, Wake County, North Carolina — the Wake County Board of Elections is seeking a Training Specialist to manage the training program for our 2,500+ election officials. This position will oversee the daily operation of the training program for the department, develop training materials, manage the Learning Management System, schedule and design layouts for training facilities, train and manage instructors and assistants for in-person training classes, identify training needs, and establish plans to address the needs through training solutions, identify innovative training tools and methods to enhance the training program, monitor and assess election law changes and incorporate the changes into polling place procedures, and develop and design election forms, precinct official website, newsletters, assessments, and other communications. Salary: $18.98 -$25.62/hr, eligible for overtime. Deadline: May 31, 2017. Application: For the complete job listing and to apply, click here.",http://www.wakegov.com/employment,05-25,2017
5639,Chief Security Officer,"Colorado! The CSO will be accountable for the development, implementation, and management of enterprise",Negotiable base + bonus & benefits,"Chief Security Officer (Denver) – Dominion Voting Systems — Dominion Voting Systems is seeking a senior executive Chief Security Officer to join our team in Denver, Colorado! The CSO will be accountable for the development, implementation, and management of enterprise-wide strategies, policies, and programs intended for the mitigation and reduction of operational, financial and reputational risk relating to the security of our products, data, personnel, customers, and facilities globally. Salary: Negotiable base + bonus & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,12-21,2017
5640,Customer Relations Manager,"accessible, and secure elections! <strong>Salary:</strong> Negotiable base + bonus &amp; benefits. <strong>Deadline:</strong> Open until filled. <strong>Application:</strong> For the complete job listing and to apply, <a href=""http://www.dominionvoting.com/company#employment"">click here</a>.</p>",Negotiable base + bonus & benefits,"Customer Relations Manager (Toronto) – Dominion Voting Systems — Dominion Voting Systems is seeking a customer focused and passionate Customer Relations Manager to join our team in Toronto! This position is responsible for providing world-class customer service to our customers in order to achieve our core purpose of delivering solutions for the advancement of fair, accessible, and secure elections! Salary: Negotiable base + bonus & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,12-21,2017
5641,Customer Relations Manager,AZ) ,Negotiable base + bonus & benefits,"Customer Relations Manager (Phoenix, AZ) – Dominion Voting Systems — Dominion Voting Systems is seeking a customer focused and passionate Customer Relations Manager to join our team in Phoenix, AZ! This position is responsible for effectively and proactively managing the day-to-day relationship, administration and technical/product support of one or more assigned customer accounts. Additionally, the CRM will serve as project manager for specialized projects such as pre- and post-election day support, new product implementations, and/or product upgrades/updates. Salary: Negotiable base + bonus & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,12-21,2017
5642,Election Technical Specialist,"Ada County, Idaho</strong> ",$15.38-$22.12/hr,"Election Technical Specialist, Ada County, Idaho — the Election Technical Specialist will help ensure accuracy of the voter registration database through the maintenance of the street file within the registration system, create maps and other data, and assist with other election duties as they arise. Ensuring that voters are in the right voting districts based on their residence is an integral part of the election database, and must be constantly maintained. An employee in this position may be required to exercise supervisory responsibilities over temporary employees during major elections. This employee could also assist in absentee voting, early voting and voter registration for Ada County following local, state and federal law. This work is performed under the supervision of the Office Administrator and Elections Director and is evaluated through conferences, reports, observation and periodic review of work plans. Salary: $15.38-$22.12/hr. Deadline: Jan. 1, 2018. Application: For the complete job listing and to apply, click here.",http://adacounty.id.gov/jobs,12-21,2017
5643,Elections Manager,"<strong>Sonoma County, California </strong>","$7,044.03 to $8,562.41 monthly","Elections Manager, Sonoma County, California — the Elections Manager is responsible for supporting the daily operations and activities of the Registrar of Voters Office, including the development, coordination, and evaluation of division operations and programs. The individual selected for this position will use considerable independent judgment and discretion in the supervision of staff, the prioritization and coordination of mandates, goals, objectives, and the delegation of administrative responsibilities. The Elections Manager is also responsible for: Analyzing, managing, and coordinating projects such as legal and technological changes; Managing ballot production and distribution; Preparing and conducting trainings; Drafting, reviewing, and updating procedural manuals; Assisting in preparation of the division’s budget; and Developing professional relationships with public officials, and community groups and agencies. Salary: $7,044.03 to $8,562.41 monthly. Deadline: Jan. 8. Application: For the complete job listing and to apply, click here:",http://www.yourpath2sonomacounty.org/,12-21,2017
5644,Government Outreach Lead,Democracy Works</strong> ,"$76,000-$120,000","Government Outreach Lead, Democracy Works — as the Government Outreach Lead, you will be responsible for growing our government program and expanding use of our tools. You’ll be joining a team of nationally respected experts in election administration with deep connections among election officials and technologists at the federal, state, and local level. In 2018, we’re focusing on establishing new relationships and formal partnerships with a variety of offices, all with varying priorities, funding constraints, and power structures. In this role, you will need to immerse yourself in the world of election administration, build relationships with keystakeholders, and think creatively in order to generate revenue opportunities for Democracy Works products and services.  Salary: $76,000-$120,000. Deadline: Target start date is Feb. 15. Application: For the complete job listing and to apply, click here.",https://democracy.works/blog/2017/12/12/job-government-outreach-lead,12-21,2017
5645,Payroll & AP Administrator,<strong>Dominion Voting Systems</strong> ,,"Payroll & AP Administrator, Dominion Voting Systems — Dominion Voting Systems is seeking an experienced Payroll & AP Administrator to be join our team in Denver, CO! This position will be responsible for managing and organizing of all functions related to payroll administration and accounts payable, including, but not limited to: recording, processing and obtaining approvals; and Processing all matters in a timely and accurate fashion, including following up on items related to the various accounts payable, payroll and month-end deadlines. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,12-21,2017
5647,Product & System Specialist,NY) ,Negotiable base + bonus & benefits,"Product & System Specialist (Jamestown, NY) – Dominion Voting Systems — Dominion Voting Systems is seeking tech-savvy and passionate Product & System Specialist to join our team in Jamestown, NY! This position is responsible for delivering internal and external technical support services related to the implementation, operation, repair, maintenance and upgrades of Dominion’s hardware and software technologies and products. Salary: Negotiable base + bonus & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,12-21,2017
5649,Registrar of Voters,"Sacramento County, California</strong> ","$134,425.44 – $148,206.25","Registrar of Voters, Sacramento County, California — working under the duties required by the Elections Code, the Registrar of Voters plans, organizes, evaluates, and directs the operations and activities of the Department of Voter Registration. This position functions as the appointing authority of the department and is responsible for all divisions within the department including administration, campaign services, precinct operations and outreach, registration, and voting systems which include technology and vote-by-mail. The Registrar of Voters reports directly to the Deputy County Executive–Administrative Services and is exempt from Civil Service. The incumbent is responsible for advising and assisting the officials of the County agencies, departments, boards and commissions with respect to matters assigned to the department. Through subordinate managers, the incumbent is responsible for developing and managing the goals, objectives, and policies of the department. Salary: $134,425.44 – $148,206.25. Deadline: Jan. 31, 2018. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/sacramento/jobs/1927839/registrar-of-voters,12-21,2017
